Kalimat,Anotasi Program,Anotasi Furqon,Anotasi Richard,Richard dan Furqon,Anotasi Yuly
"Kuskridho berkata, ""Prospek untuk pasangan Ganjar-Taj Yasin cukup besar saat ini. Tapi masih ada dua bulan kemungkinan perubahan distribusi suara pada masing-masing kandidat"".",B-A0 B-V O O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-TMP I-AM-TMP O B-AM-CAU I-AM-CAU I-AM-CAU B-AM-TMP I-AM-TMP I-AM-TMP B-A1 I-A1 I-A1 B-AM-TMP I-AM-TMP B-A0 O O,B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 B-V O O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-TMP I-AM-TMP O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O O,Beda,
Jawa Tengah kerap disebut-sebut sebagai kandang banteng.,None (predicate not found),B-A0 I-A0 B-AM-ADV B-V B-A1 I-A1 I-A1 O,None (predicate not found),Beda,
"Joko Widodo-Jusuf Kalla mendapat suara 5,5 juta di kandang Banteng, pada pemilu Presiden 2014.",B-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC B-AM-TMP I-AM-TMP I-AM-TMP O O,B-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 B-AM-LOC I-AM-LOC I-AM-LOC O B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O,B-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 B-AM-LOC I-AM-LOC I-AM-LOC O B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O,Sama,
"Sedangkan Prabowo Subianto-Hatta Rajasa mendapat 2,7 juta suara.",B-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 O,O B-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 O,O B-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 O,Sama,
Komisi Aparatur Sipil Negara mengancam akan memberikan rekomendasi sanksi pemecatan terhadap pejabat di Dinas Pendidikan Sumatera Utara lantaran diduga mengajak aparatur sipil negara mendukung salah satu pasangan calon kepala daerah.,None (more than 30),B-A0 I-A0 I-A0 I-A0 B-V B-AM-MOD B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU O,B-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC B-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU O,Beda,
Ancaman itu muncul setelah beredar rekaman yang diduga merupakan suara salah satu pejabat di Dinas Pendidikan Sumut mengajak ASN mendukung pasangan Djarot Saiful Hidayat dan Sihar Sitorus dalam pemilihan kepala daerah serentak 2018.,None (more than 30),B-A0 I-A0 B-V B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O,B-A0 I-A0 B-V B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O,Sama,
"Komisioner KASN, Nuraida Mokhsen, mengatakan lembaganya sedang mengkaji kasus tersebut.",B-A0 I-A0 I-A0 I-A0 I-A0 O B-V B-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 I-A0 I-A0 I-A0 I-A0 O B-V B-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 I-A0 O I-A0 I-A0 O B-V B-A1 I-A1 I-A1 I-A1 I-A1 O,Beda,
"Komisioner KASN, Nuraida Mokhsen berkata, “Kalau memang terbukti, sanksinya cukup berat karena ada video dan spesifik mengajak mendukung salah satu pasangan calon,” kepada Tempo di Jakarta, Jumat, 18 Mei 2018.",None (more than 30),B-A0 I-A0 I-A0 I-A0 I-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O O B-AM-LOC I-AM-LOC O B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O,B-A0 I-A0 O I-A0 I-A0 B-V O O B-A1 I-A1 I-A1 O I-A1 I-A1 I-A1 B-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU O O O O B-AM-LOC I-AM-LOC O B-AM-TMP O I-AM-TMP I-AM-TMP I-AM-TMP O,Beda,
"Nuraida berpendapat, lembaganya secara resmi belum menerima pengaduan dari Badan Pengawas Pemilu atau masyarakat berkaitan dengan kasus netralitas ASN di Sumatera Utara tersebut.",B-A0 B-V O B-A1 B-AM-ADV I-AM-ADV B-AM-NEG B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O,B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 B-V O B-A1 B-AM-ADV I-AM-ADV I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O,Beda,
"Meski begitu, Nuraida memastikan segera memproses penjatuhan sanksi ketika pengaduan diterima.",B-AM-CAU I-AM-CAU I-AM-CAU B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,O O O B-A0 B-V B-AM-MOD B-A1 I-A1 I-A1 B-AM-TMP I-AM-TMP I-AM-TMP O,B-AM-CAU I-AM-CAU O B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,Beda,
"Nuraida berujar, “Kalau sudah ada bukti kuat, kami klarifikasi sebentar untuk dijatuhi hukuman”.",B-A0 B-V O O B-AM-NEG B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-GOL I-AM-GOL I-AM-GOL O O,B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 B-V O O B-A1 I-A1 I-A1 I-A1 I-A1 O I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O O,Beda,
"Sekitar awal pekan lalu, beredar sebuah rekaman yang diduga merupakan suara salah seorang pejabat di Dinas Pendidikan Sumatera Utara.",B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O B-A0 I-A0 I-A0 I-A0 O B-V B-A1 I-A1 I-A1 I-A1 B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O,B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O B-V B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 O,B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O,Beda,
"Dalam rekaman itu, seseorang yang diduga pejabat di Dinas mengajak ASN mendukung pasangan Djarot Saiful Hidayat dan Sihar Sitorus dalam pemilihan kepala daerah serentak 2018.",B-AM-TMP B-A0 I-A0 O B-A0 I-A0 I-A0 I-A0 B-AM-LOC I-AM-LOC B-V B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,O O O O B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-AM-LOC I-AM-LOC I-AM-LOC O B-A0 I-A0 I-A0 I-A0 B-AM-LOC I-AM-LOC B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O,Beda,
Badan Pengawas Pemilu Sumatera Utara memastikan terus menyelidiki dugaan pelanggaran pemilu yang melibatkan pejabat di Dinas Pendidikan Sumatera Utara tersebut.,B-A0 I-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O,B-A0 I-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 I-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O,Beda,
"Anggota Bawaslu Sumatera Utara, Herdi Munte, menuturkan, penyelidikan sudah dibahas bersama di Sentra Penegakan Hukum Terpadu.",B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 O B-V O B-A1 I-A1 I-A1 I-A1 B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O,B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 O B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 I-A0 I-A0 I-A0 O I-A0 I-A0 O B-V O B-A1 I-A1 I-A1 I-A1 B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O,Beda,
"Anggota Bawaslu Sumatera Utara, Herdi Munte berkata, adapun pelapor rekaman tersebut masih diminta melengkapi laporannya.",B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 I-A0 I-A0 I-A0 O I-A0 I-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,Beda,
Herdi mengatakan lembaganya bersama kepolisian dan kejaksaan di tim Sentra Gakkumdu masih menelusuri lokasi dan waktu rekaman tersebut dibuat.,B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,Sama,
Adapun penyelidikan sudah dilakukan selama sepekan.,None (predicate not found),O B-A0 B-AM-MOD B-V B-A1 I-A1 O,O B-A1 O B-V B-AM-TMP I-AM-TMP O,Beda,
"Herdi berujar, “Kami masih memeriksa pelapor untuk menyelidiki dugaan pelanggaran ini”.",B-A0 B-V O O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O O,B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 B-V O O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O O,Beda,
Bawaslu juga akan memanggil orang yang diduga ada dalam rekaman tersebut setelah cukup bukti permulaan.,B-A0 O B-AM-MOD B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 O B-AM-MOD B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O,B-A0 O B-AM-MOD B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O,Sama,
"Herdi melanjutkan, sejauh ini belum ada bukti yang mendukung bahwa rekaman tersebut adalah suara pejabat di Dinas Pendidikan Sumatera Utara.",B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O,B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 B-V O B-AM-TMP I-AM-TMP B-AM-NEG B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O,Beda,
"Untuk itu, tim Sentra Gakkumdu berhati-hati sebelum memanggil orang yang diduga terlibat dalam rekaman tersebut.",B-AM-GOL I-AM-GOL O B-A0 I-A0 I-A0 O O B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,O O O B-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-AM-CAU I-AM-CAU O B-A0 I-A0 I-A0 B-V B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O,Beda,
"Herdi berkata, “Kami masih tetap telusuri termasuk sumber awal rekaman tersebut”.",None (predicate not found),B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 B-V O O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O O,Beda,
"Ketua Bawaslu Sumatera Utara, Syafridah Rasahan, mengatakan, sesuai dengan Undang-Undang Nomor 10 Tahun 2016 tentang Pemilihan Kepala Daerah, aparatur sipil negara tidak boleh terlibat untuk kampanye atau mengarahkan dukungan.",None (more than 30),B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 O B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 I-A0 I-A0 I-A0 O I-A0 I-A0 O B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,Beda,
Bagi yang terbukti melakukan tindakan tersebut akan diancam hukuman pidana paling lama 6 bulan dan denda paling banyak Rp 6 juta.,B-AM-GOL B-AM-ADV I-AM-ADV B-V B-A1 I-A1 B-AM-MOD B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-EXT I-AM-EXT I-AM-EXT I-AM-EXT O,B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-AM-MOD B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-AM-MOD B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,Sama,
"Ketua Bawaslu Sumatera Utara, Syafridah Rasahan berujar, “Kami akan proses sesuai dengan undang-undang”.",None (predicate not found),B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 I-A0 I-A0 I-A0 O I-A0 I-A0 B-V O O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O O,Beda,
"Syafridah menambahkan, lembaganya juga menyerahkan kasus tersebut kepada KASN. Sebab, kata dia, mekanisme penjatuhan rekomendasi sanksi bagi ASN yang tidak netral menjadi kewenangan Komisi.",B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O O O O B-A0 O B-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU B-AM-ADV B-AM-NEG B-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU O,B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O O O O O O O O O O O O O O O O O O O  |||  O O O O O O O O O O O O O O O O B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 O,B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O B-AM-CAU O I-AM-CAU I-AM-CAU O I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU O,Beda,
"Syafridah bertutur, “Untuk sanksi dari KASN, mereka yang akan proses”.",None (predicate not found),B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 B-V O O B-A1 I-A1 I-A1 I-A1 O I-A1 I-A1 I-A1 I-A1 O O,Beda,
"Ketua Umum Partai Persatuan Pembangunan Romahurmuziy alias Rommy mengatakan dirinya semakin yakin pasangan calon gubernur Jawa Barat yang diusung partainya, Ridwan Kamil dan Uu Ruzhanul Ulum bisa memenangi Pilkada Jawa Barat pada 27 Juni mendatang.",None (more than 30),B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O,B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O,Beda,
"Rommy menyebutkan, selain unggul di sejumlah survei, pasangan yang biasa disebut Rindu itu juga didukung dengan kerja politik partai pendukung dan para relawan yang hasilnya mulai terlihat.",B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O B-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU B-AM-ADV I-AM-ADV B-AM-TMP B-V O,B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 O I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,Beda,
"Rommy berkata, ""Kami berharap pasangan Rindu bisa memperoleh kemenangan dengan perolehan suara separuh lebih sedikit sekitar 52-53 persen,"" melalui siaran pers yang diterima Tempo Kamis, 31 Mei 2018.",None (more than 30),B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O O O O O O B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O,B-A0 B-V O O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-EXT I-AM-EXT I-AM-EXT B-AM-EXT I-AM-EXT I-AM-EXT O O O O O O O O B-AM-TMP O I-AM-TMP I-AM-TMP I-AM-TMP O,Beda,
Rommy yakin dukungan untuk Ridwan Kamil dan Uu semakin naik dengan adanya gerakan yang dilakukan selama sebulan ini hingga pencoblosan.,B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O,B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O,Beda,
Hal ini terlihat dari hasil sejumlah survei yang dipublikasikan beberapa waktu terakhir ini.,None (predicate not found),B-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O,None (predicate not found),Beda,
Ketua Umum PPP Rommy menilai komunikasi antarpartai pendukung pasangan ini telah berjalan dengan baik.,B-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-ADV I-AM-ADV O,B-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-ADV I-AM-ADV O,B-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-ADV I-AM-ADV O,Sama,
"PPP, Nasdem, Hanura dan PKB sudah saling berbagi saksi.",B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 O B-A0 I-A0 I-A0 O,B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 O,B-A0 O I-A0 O I-A0 I-A0 I-A0 O O B-V B-A1 O,Beda,
Masing-masing partai juga bekerja sesuai dengan konstitusinya.,None (predicate not found),B-A0 I-A0 O B-V B-A1 I-A1 I-A1 O,B-A0 I-A0 O B-V B-A1 I-A1 I-A1 O,Sama,
"Rommy berkata, ""Bahkan saat ini PPP dengan ratusan mobil yang diturunkan untuk memenangkan Rindu, terus bergerak di Kabupaten dan kota se-Jabar untuk langsung menyasar pemilih di keramaian dan ini akan terus bergerak"".",None (more than 30),B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 B-V O O O B-AM-TMP I-AM-TMP B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O O,Beda,
"Rommy berpendapat, pesaing terberat Ridwan Kamil-Uu adalah pasangan 2D, Deddy Mizwar-Dedi Mulyadi.",B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O I-A1 I-A1 I-A1 O,Beda,
"Meski demikian, Rommy yakin pasangan yang dicalonkannya bisa menang.",B-AM-CAU I-AM-CAU I-AM-CAU B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 O,O O O B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 O,B-AM-CAU I-AM-CAU O B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 O,Beda,
Rommy menilai konsolidasi partai pendukung Rindu dan 2D adalah paling dinamis di Jabar.,B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-LOC I-AM-LOC O,B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-LOC I-AM-LOC O,B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-LOC I-AM-LOC O,Sama,
Hasil survei kedua pasangan ini juga bersaing ketat.,B-A1 O B-A0 I-A0 I-A0 O B-A1 I-A1 O,B-A0 I-A0 I-A0 I-A0 I-A0 O B-V B-AM-ADV O,B-A0 I-A0 I-A0 I-A0 I-A0 O B-V B-AM-ADV O,Sama,
